Time (Seconds),Power (W),Temperature_Center(deg. C),Temperature__Middle(deg. C),Temperature_Surface(deg. C)
115,2.7469E-05,25.7832198081575,25.7908754242513,25.7865096788676
116,2.7469E-05,25.7840268352654,25.7888380764056,25.7865096788676
117,2.7469E-05,25.7818075107188,25.7929127720971,25.7865096788676
118,2.7469E-05,25.781000483611,25.7929127720971,25.7865096788676
119,1.1493E-05,25.7868514301428,25.7908754242513,25.7865096788676
120,9.3059E-06,25.7916935927898,25.7908754242513,25.7865096788676
121,9.3059E-06,25.7935094037825,25.7929127720971,25.7865096788676
122,9.306E-06,25.7955269715521,25.7868007285598,25.7865096788676
123,9.3058E-06,25.7900795385742,25.7908754242513,25.7865096788676
124,9.3059E-06,25.7912900792359,25.7868007285598,25.7865096788676
125,9.3059E-06,25.7918953495668,25.7888380764056,25.7865096788676
126,9.3059E-06,25.7922988631207,25.7888380764056,25.7865096788676
127,9.3059E-06,25.7920971063438,25.7868007285598,25.7865096788676
128,9.3057E-06,25.7890707546894,25.784763380714,25.7865096788676
129,9.3058E-06,25.7886672411355,25.7888380764056,25.7865096788676
130,9.3055E-06,25.7836233217115,25.7868007285598,25.7865096788676
131,9.3059E-06,25.7920971063438,25.7868007285598,25.7865096788676
132,9.306E-06,25.7937111605595,25.7868007285598,25.7865096788676
133,9.3061E-06,25.7973427825447,25.7868007285598,25.7865096788676
134,9.3061E-06,25.7967375122139,25.7868007285598,25.7865096788676
135,9.3059E-06,25.7922988631207,25.7888380764056,25.7865096788676
136,9.3058E-06,25.7900795385742,25.7827260328683,25.7865096788676
137,9.306E-06,25.7929041334516,25.7888380764056,25.7865096788676
138,9.3058E-06,25.7898777817972,25.7888380764056,25.7865096788676
139,9.3057E-06,25.7886672411355,25.7888380764056,25.7865096788676
140,9.306E-06,25.7933076470055,25.7888380764056,25.7865096788676
141,9.3056E-06,25.7864479165889,25.7929127720971,25.7865096788676
142,9.3058E-06,25.7900795385742,25.7827260328683,25.7865096788676
143,9.3059E-06,25.7933076470055,25.7827260328683,25.7865096788676
144,9.3057E-06,25.7870531869198,25.7868007285598,25.7865096788676
145,9.3058E-06,25.7904830521281,25.7888380764056,25.7865096788676
146,9.3057E-06,25.7882637275815,25.7888380764056,25.7865096788676
147,9.3058E-06,25.7904830521281,25.7888380764056,25.7865096788676
148,9.3058E-06,25.7900795385742,25.7888380764056,25.7865096788676
149,3.2383E-05,25.7844303488193,25.7908754242513,25.7865096788676
150,3.9262E-05,25.7818075107188,25.7908754242513,25.7865096788676
151,3.9262E-05,25.7846321055963,25.7908754242513,25.7865096788676
152,3.9262E-05,25.7826145378267,25.7868007285598,25.7865096788676
153,3.9261E-05,25.781000483611,25.7929127720971,25.7865096788676
154,3.9261E-05,25.781000483611,25.7888380764056,25.7865096788676
155,3.9261E-05,25.7803952132801,25.7888380764056,25.7865096788676
156,3.9261E-05,25.7818075107188,25.7868007285598,25.7865096788676
157,3.9262E-05,25.7838250784884,25.7868007285598,25.7865096788676
158,3.9261E-05,25.7820092674958,25.7888380764056,25.7865096788676
159,3.9262E-05,25.7836233217115,25.7888380764056,25.7865096788676
160,3.9262E-05,25.7822110242727,25.7908754242513,25.7865096788676
161,3.9262E-05,25.7864479165889,25.7888380764056,25.7865096788676
162,3.9262E-05,25.7834215649345,25.7888380764056,25.7865096788676
163,3.9261E-05,25.780798726834,25.7888380764056,25.7865096788676
164,3.9262E-05,25.7828162946036,25.7908754242513,25.7865096788676
165,3.9262E-05,25.7822110242727,25.7929127720971,25.7865096788676
166,3.9262E-05,25.7830180513806,25.7868007285598,25.7865096788676
167,3.9261E-05,25.7818075107188,25.7908754242513,25.7865096788676
168,3.9262E-05,25.7850356191502,25.7949501199429,25.7865096788676
169,3.9262E-05,25.7842285920423,25.7949501199429,25.7865096788676
170,3.9262E-05,25.7840268352654,25.784763380714,25.7865096788676
171,3.9262E-05,25.7834215649345,25.7908754242513,25.7865096788676
172,3.9261E-05,25.7816057539419,25.7868007285598,25.7865096788676
173,3.9262E-05,25.7844303488193,25.7868007285598,25.7865096788676
174,3.9262E-05,25.7840268352654,25.7868007285598,25.7865096788676
175,3.9262E-05,25.7846321055963,25.7888380764056,25.7865096788676
176,3.9261E-05,25.7814039971649,25.7888380764056,25.7865096788676
177,3.9261E-05,25.7801934565032,25.7888380764056,25.7865096788676
178,3.9262E-05,25.7830180513806,25.7929127720971,25.7865096788676
180,9.306E-06,25.7937111605595,25.7888380764056,25.7865096788676
181,9.3059E-06,25.7912900792359,25.7888380764056,25.7865096788676
182,9.3056E-06,25.7864479165889,25.7929127720971,25.7865096788676
183,9.3059E-06,25.7922988631207,25.7908754242513,25.7865096788676
184,9.306E-06,25.7951234579982,25.7868007285598,25.7865096788676
185,9.306E-06,25.7949217012212,25.7908754242513,25.7865096788676
186,9.306E-06,25.7947199444443,25.7888380764056,25.7865096788676
187,9.3059E-06,25.790886565682,25.7908754242513,25.7865096788676
188,9.306E-06,25.7947199444443,25.7888380764056,25.7865096788676
189,9.3059E-06,25.7912900792359,25.7888380764056,25.7865096788676
190,9.3057E-06,25.7866496733659,25.7868007285598,25.7865096788676
191,9.306E-06,25.7943164308903,25.7929127720971,25.7865096788676
192,9.3063E-06,25.8005708909761,25.7868007285598,25.7865096788676
193,9.3057E-06,25.7888689979124,25.7868007285598,25.7865096788676
194,9.306E-06,25.7933076470055,25.7888380764056,25.7865096788676
195,9.3057E-06,25.7878602140276,25.7888380764056,25.7865096788676
196,9.3058E-06,25.791088322459,25.7908754242513,25.7865096788676
197,9.306E-06,25.7941146741134,25.784763380714,25.7865096788676
198,9.306E-06,25.7939129173364,25.784763380714,25.7865096788676
199,9.3058E-06,25.7904830521281,25.784763380714,25.7865096788676
200,9.3057E-06,25.7876584572507,25.784763380714,25.7865096788676
201,9.3059E-06,25.7920971063438,25.7868007285598,25.7865096788676
202,9.306E-06,25.7937111605595,25.7868007285598,25.7865096788676
203,9.3057E-06,25.7886672411355,25.7888380764056,25.7865096788676
204,9.3058E-06,25.790886565682,25.7888380764056,25.7865096788676
205,9.3059E-06,25.7912900792359,25.7929127720971,25.7865096788676
206,9.3059E-06,25.7935094037825,25.7929127720971,25.7865096788676
207,9.306E-06,25.7931058902286,25.7929127720971,25.7865096788676
208,9.306E-06,25.7949217012212,25.7929127720971,25.7865096788676
209,3.3031E-05,25.7868514301428,25.7888380764056,25.7865096788676
210,6.0368E-05,25.7791846726184,25.7868007285598,25.7865096788676
211,6.0369E-05,25.7814039971649,25.784763380714,25.7865096788676
212,6.037E-05,25.7840268352654,25.7908754242513,25.7865096788676
213,6.0369E-05,25.781000483611,25.7868007285598,25.7865096788676
214,6.0369E-05,25.7814039971649,25.7888380764056,25.7865096788676
215,6.0369E-05,25.7822110242727,25.7949501199429,25.7865096788676
216,6.037E-05,25.786044403035,25.7908754242513,25.7865096788676
217,6.0369E-05,25.7818075107188,25.7868007285598,25.7865096788676
218,6.0369E-05,25.7820092674958,25.7908754242513,25.7865096788676
219,6.037E-05,25.7834215649345,25.7908754242513,25.7865096788676
220,6.037E-05,25.7842285920423,25.7908754242513,25.7865096788676
221,6.037E-05,25.7832198081575,25.7888380764056,25.7865096788676
222,6.0369E-05,25.7801934565032,25.7888380764056,25.7865096788676
223,6.0369E-05,25.7826145378267,25.7949501199429,25.7865096788676
